"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2010","Number","1683"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2011","Number","2091"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2012","Number","2689"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2013","Number","2702"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2014","Number","14"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2015","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2013","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2002","Number","3053"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2003","Number","2938"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2004","Number","2725"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2005","Number","3082"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2006","Number","3029"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2007","Number","3004"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2008","Number","2308"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2009","Number","1424"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2010","Number","1539"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2011","Number","1765"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2012","Number","2061"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2013","Number","2761"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2014","Number","2880"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2015","Number","10"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2016","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2014","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2002","Number","3110"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2003","Number","2977"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2004","Number","2733"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2005","Number","3110"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2006","Number","3091"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2007","Number","3019"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2008","Number","2297"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2009","Number","1363"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2010","Number","1424"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2011","Number","1576"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2012","Number","1779"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2013","Number","2107"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2014","Number","2909"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2015","Number","3565"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2016","Number","15"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2017","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2015","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2002","Number","3161"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2003","Number","3163"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2004","Number","2818"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2005","Number","3209"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2006","Number","3213"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2007","Number","3121"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2008","Number","2333"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2009","Number","1341"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2010","Number","1360"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2011","Number","1455"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2012","Number","1595"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2013","Number","1801"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2014","Number","2213"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2015","Number","3638"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2016","Number","3774"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2017","Number","5"
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2016","2018","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2002","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2003","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2004","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2005","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2006","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2007","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2008","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2009","Number",""
"Employment Activity of Foreign Nationals","UK","Persons with employment activity in 2017","2010","Number",""
