"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2008","Number","24420"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2009","Number","12220"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2010","Number","13386"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2011","Number","15686"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2012","Number","20817"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2013","Number","31545"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2014","Number","35166"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2015","Number","52"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2014","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2002","Number","14432"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2003","Number","13560"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2004","Number","26235"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2005","Number","40058"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2006","Number","47273"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2007","Number","41179"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2008","Number","24269"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2009","Number","11990"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2010","Number","12668"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2011","Number","14461"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2012","Number","18345"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2013","Number","25491"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2014","Number","37911"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2015","Number","41848"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2016","Number","201"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2015","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2002","Number","14707"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2003","Number","13852"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2004","Number","26260"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2005","Number","40266"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2006","Number","47697"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2007","Number","41493"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2008","Number","24558"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2009","Number","12069"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2010","Number","12335"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2011","Number","13759"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2012","Number","16974"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2013","Number","22665"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2014","Number","30698"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2015","Number","41607"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2016","Number","51910"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2017","Number","95"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2016","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2002","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2003","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2004","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2005","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2006","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2007","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2008","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2009","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2010","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2011","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2017","2012","Number","16066"
